Country,Year,MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand)
"Congo, Rep.",2019,8102443.41,12101745.16,0
Cook Islands,2019,776.95,33125.25,0
Colombia,2019,19373588.25,43046048.3,0
Comoros,2019,41842.46,94255.85,0
Cape Verde,2019,14219.18,201711.27,0
Costa Rica,2019,7609765.69,16628461.73,0
Cuba,2019,1027574.71,1589710.42,0
Curaçao,2019,239771.5,466630.27,0
Christmas Island,2019,3805.42,11699.86,0
Cayman Islands,2019,21813.93,2886580.67,0
Cyprus,2019,329060.75,1211783.33,0
Czech Republic,2019,8356998.08,29651690.5,0
Germany,2019,185050402.6,484526263.5,0
Djibouti,2019,8955.06,55695.8,0
Dominica,2019,7833.11,33793.35,0
Denmark,2019,16381990.17,34415498.12,0
Dominican Republic,2019,5524073.71,10881504.55,0
Algeria,2019,35104875.39,51522793.95,0
Ecuador,2019,11083157.33,25023355.07,0
"Egypt, Arab Rep.",2019,14553818.2,37248642.95,0
Eritrea,2019,354804,463066.87,0
Western Sahara,2019,2402.62,3138.26,0
Spain,2019,27196381.53,84504007.36,0
Estonia,2019,343500.85,3558642.23,0
Ethiopia(excludes Eritrea),2019,701748.94,3066231.62,0
Finland,2019,6722867.73,27536519.47,0
Fiji,2019,385592.64,744350.03,0
Falkland Island,2019,1328.32,94021.4,0
France,2019,98280401.36,224423303.3,0
Free Zones,2019,436741.43,1493321.29,0
Faeroe Islands,2019,84850.2,2160188.89,0
"Micronesia, Fed. Sts.",2019,413.55,45086.72,0
Gabon,2019,4587212.87,5655289.33,0
United Kingdom,2019,85489078.91,190539074.1,0
Georgia,2019,720138.31,3033133.04,0
Ghana,2019,11095025.12,17601810.33,0
Gibraltar,2019,135824.2,393028.02,0
Guinea,2019,3226775.69,7141599.37,0
"Gambia, The",2019,2003.26,116447.96,0
Guinea-Bissau,2019,139226.21,314705.97,0
Equatorial Guinea,2019,4682384.14,6222598.39,0
Greece,2019,2319998.86,11639181.37,0
Grenada,2019,5262.67,46401.58,0
Greenland,2019,20853.49,1915810.51,0
Guatemala,2019,2326403.68,10630629.07,0
Guam,2019,8756.93,28239.17,0
Guyana,2019,825567.24,1444892.28,0
"Hong Kong, China",2019,32119113.2,93176469.23,0
Heard Island and McDonald Isla,2019,35.27,375.09,0
Honduras,2019,981683.02,9846107.76,0
